half_spread_vp,always_short,always_short_5d,naive_binary,model_binary,model_binary_5d,model_linear,model_linear_5d,robust_binary
0.0,0.748,0.755,0.777,0.843,0.755,1.124,1.021,0.745
0.25,0.61,0.622,0.558,0.622,0.596,0.791,0.832,0.607
0.5,0.466,0.464,0.341,0.393,0.412,0.46,0.643,0.464
0.75,0.328,0.33,0.131,0.147,0.252,0.129,0.455,0.326
1.0,0.169,0.197,-0.089,-0.094,0.093,-0.21,0.268,0.166
1.25,0.032,0.065,-0.293,-0.308,-0.064,-0.54,0.083,0.03
1.5,-0.122,-0.065,-0.508,-0.528,-0.219,-0.956,-0.147,-0.124
1.75,-0.252,-0.195,-0.702,-0.747,-0.373,-1.33,-0.356,-0.254
2.0,-0.4,-0.332,-0.896,-1.02,-0.533,-1.677,-0.54,-0.402
2.25,-0.535,-0.483,-1.116,-1.211,-0.689,-2.002,-0.764,-0.537
2.5,-0.663,-0.61,-1.305,-1.373,-0.847,-2.416,-0.931,-0.665
2.75,-0.779,-0.735,-1.474,-1.535,-0.991,-2.692,-1.159,-0.781
3.0,-0.928,-0.877,-1.702,-1.737,-1.171,-3.006,-1.352,-0.93
